Job No,Job Date,Warehouse,Warehouse Status,Machine,Status,Post Date,Start-Time,End-Time,Elapsed-Time,UOM,Input Qty,Output Qty,Yield Loss Qty,Department,Description,Input Value,Output Value,Expenses,User Defined 1,UserDefined2,Input Units,Output Units,
17040,8/24/2026 12:00:00 AM,PRN Southeast                                ,IN PROCESS,BALER,Work,,5:08AM,,18:52:00,LBS    ,16876.000,24146.000,-7270.000,Plus Materials                                    ,,630.7700,0.0000,0.0000,,,61,12,
17092,9/8/2026 12:00:00 AM,Plus Monroe Warehouse                        ,IN PROCESS,AUTO-TIE BALER (1ST SHIFT),Work,,2:38PM,,09:22:00,LBS    ,0.000,23355.000,-23355.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
17093,9/8/2026 12:00:00 AM,Plus Monroe Warehouse                        ,IN PROCESS,EXTRUDER (1ST SHIFT),Work,,2:38PM,,09:22:00,LBS    ,0.000,18256.000,-18256.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
17094,9/8/2026 12:00:00 AM,Plus Monroe Warehouse                        ,IN PROCESS,GUILLOTINE (1ST SHIFT),Work,,2:38PM,,09:22:00,LBS    ,0.000,17537.000,-17537.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
17095,9/8/2026 12:00:00 AM,Plus Monroe Warehouse                        ,IN PROCESS,GREEN MAX (NEW) (1ST SHIFT),Work,,2:38PM,,09:22:00,LBS    ,0.000,3335.000,-3335.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,1,
17096,9/8/2026 12:00:00 AM,Plus Monroe Warehouse                        ,IN PROCESS,SHREDDER (1ST SHIFT),Work,,2:38PM,,09:22:00,LBS    ,0.000,2167.000,-2167.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
17097,9/8/2026 12:00:00 AM,Plus Monroe Warehouse                        ,IN PROCESS,SHREDDER/GRINDER (1ST SHIFT),Work,,2:38PM,,09:22:00,LBS    ,0.000,28392.000,-28392.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
17121,9/11/2026 12:00:00 AM,Plus Monroe Warehouse                        ,IN PROCESS,AUTO-TIE BALER (2ND SHIFT),Work,,10:38AM,,13:22:00,LBS    ,0.000,0.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
17122,9/11/2026 12:00:00 AM,Plus Monroe Warehouse                        ,IN PROCESS,EXTRUDER (2ND SHIFT),Work,,10:38AM,,13:22:00,LBS    ,0.000,0.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
17123,9/11/2026 12:00:00 AM,Plus Monroe Warehouse                        ,IN PROCESS,GUILLOTINE (2ND SHIFT),Work,,10:39AM,,13:21:00,LBS    ,0.000,0.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
17124,9/11/2026 12:00:00 AM,Plus Monroe Warehouse                        ,IN PROCESS,SHREDDER (2ND SHIFT),Work,,10:39AM,,13:21:00,LBS    ,0.000,0.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
17125,9/11/2026 12:00:00 AM,Plus Monroe Warehouse                        ,IN PROCESS,SHREDDER/GRINDER (2ND SHIFT),Work,,10:39AM,,13:21:00,LBS    ,0.000,0.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
17126,9/11/2026 12:00:00 AM,Plus Monroe Warehouse                        ,IN PROCESS,AUTO-TIE BALER (3RD SHIFT),Work,,10:40AM,,13:20:00,LBS    ,0.000,0.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
17127,9/11/2026 12:00:00 AM,Plus Monroe Warehouse                        ,IN PROCESS,EXTRUDER (3RD SHIFT),Work,,10:40AM,,13:20:00,LBS    ,0.000,0.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
17128,9/11/2026 12:00:00 AM,Plus Monroe Warehouse                        ,IN PROCESS,GUILLOTINE (3RD SHIFT),Work,,10:40AM,,13:20:00,LBS    ,0.000,0.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
