Snapshot,Job No,Job Date,Warehouse,Warehouse Status,Machine,Status,Post Date,Start-Time,End-Time,Elapsed-Time,UOM,Input Qty,Output Qty,Yield Loss Qty,Department,Description,Input Value,Output Value,Expenses,User Defined 1,UserDefined2,Input Units,Output Units,Operator,Finished Product
2026-09-25T00:57:39,17129,2026-09-11,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (1ST SHIFT),Work,,3:58PM,,08:02:00,LBS,0.0,47586.0,-47586.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T00:57:39,17130,2026-09-11,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (1ST SHIFT),Work,,3:58PM,,08:02:00,LBS,0.0,78257.0,-78257.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T00:57:39,17131,2026-09-11,Plus Monroe Warehouse,IN PROCESS,GREEN MAX (NEW) (1ST SHIFT),Work,,3:59PM,,08:01:00,LBS,0.0,3958.0,-3958.0,Plus Materials,,0.0,0.0,0.0,,,0,3,,
2026-09-25T00:57:39,17132,2026-09-11,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (1ST SHIFT),Work,,3:59PM,,08:01:00,LBS,0.0,61465.0,-61465.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T00:57:39,17133,2026-09-11,Plus Monroe Warehouse,IN PROCESS,SHREDDER (1ST SHIFT),Work,,4:01PM,,07:59:00,LBS,0.0,7512.0,-7512.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T00:57:39,17134,2026-09-11,Plus Monroe Warehouse,IN PROCESS,SHREDDER/GRINDER (1ST SHIFT),Work,,4:01PM,,07:59:00,LBS,0.0,28533.0,-28533.0,Plus Materials,,0.0,0.0,0.0,,,0,1,,
2026-09-25T00:57:39,17135,2026-09-21,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (2ND SHIFT),Work,,11:51AM,,12:09:00,LBS,0.0,8435.0,-8435.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T00:57:39,17136,2026-09-21,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (2ND SHIFT),Work,,11:51AM,,12:09:00,LBS,0.0,11175.0,-11175.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T00:57:39,17137,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GREEN MAX (NEW) (2ND SHIFT),Work,,11:52AM,,12:08:00,LBS,0.0,1108.0,-1108.0,Plus Materials,,0.0,0.0,0.0,,,0,1,,
2026-09-25T00:57:39,17138,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (2ND SHIFT),Work,,11:52AM,,12:08:00,LBS,0.0,42208.0,-42208.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T00:57:39,17139,2026-09-21,Plus Monroe Warehouse,IN PROCESS,SHREDDER (2ND SHIFT),Work,,11:53AM,,12:07:00,LBS,0.0,3885.0,-3885.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T00:57:39,17140,2026-09-21,Plus Monroe Warehouse,IN PROCESS,SHREDDER/GRINDER (2ND SHIFT),Work,,11:53AM,,12:07:00,LBS,0.0,11254.0,-11254.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T00:57:39,17141,2026-09-21,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (3RD SHIFT),Work,,11:54AM,,12:06:00,LBS,0.0,15035.0,-15035.0,Plus Materials,,0.0,0.0,0.0,,,0,11,,
2026-09-25T00:57:39,17142,2026-09-21,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (3RD SHIFT),Work,,11:54AM,,12:06:00,LBS,0.0,6321.0,-6321.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T00:57:39,17143,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (3RD SHIFT),Work,,11:55AM,,12:05:00,LBS,0.0,48805.0,-48805.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T01:52:42,17040,2026-08-24,PRN Southeast,IN PROCESS,BALER,Work,,5:08AM,,18:52:00,LBS,16876.0,24146.0,-7270.0,Plus Materials,,630.77,0.0,0.0,,,61,12,,
2026-09-25T01:52:42,17129,2026-09-11,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (1ST SHIFT),Work,,3:58PM,,08:02:00,LBS,0.0,47586.0,-47586.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T01:52:42,17130,2026-09-11,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (1ST SHIFT),Work,,3:58PM,,08:02:00,LBS,0.0,78257.0,-78257.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T01:52:42,17131,2026-09-11,Plus Monroe Warehouse,IN PROCESS,GREEN MAX (NEW) (1ST SHIFT),Work,,3:59PM,,08:01:00,LBS,0.0,3958.0,-3958.0,Plus Materials,,0.0,0.0,0.0,,,0,3,,
2026-09-25T01:52:42,17132,2026-09-11,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (1ST SHIFT),Work,,3:59PM,,08:01:00,LBS,0.0,61465.0,-61465.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T01:52:42,17133,2026-09-11,Plus Monroe Warehouse,IN PROCESS,SHREDDER (1ST SHIFT),Work,,4:01PM,,07:59:00,LBS,0.0,7512.0,-7512.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T01:52:42,17134,2026-09-11,Plus Monroe Warehouse,IN PROCESS,SHREDDER/GRINDER (1ST SHIFT),Work,,4:01PM,,07:59:00,LBS,0.0,28533.0,-28533.0,Plus Materials,,0.0,0.0,0.0,,,0,1,,
2026-09-25T01:52:42,17135,2026-09-21,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (2ND SHIFT),Work,,11:51AM,,12:09:00,LBS,0.0,8435.0,-8435.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T01:52:42,17136,2026-09-21,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (2ND SHIFT),Work,,11:51AM,,12:09:00,LBS,0.0,11175.0,-11175.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T01:52:42,17137,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GREEN MAX (NEW) (2ND SHIFT),Work,,11:52AM,,12:08:00,LBS,0.0,1108.0,-1108.0,Plus Materials,,0.0,0.0,0.0,,,0,1,,
2026-09-25T01:52:42,17138,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (2ND SHIFT),Work,,11:52AM,,12:08:00,LBS,0.0,42208.0,-42208.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T01:52:42,17139,2026-09-21,Plus Monroe Warehouse,IN PROCESS,SHREDDER (2ND SHIFT),Work,,11:53AM,,12:07:00,LBS,0.0,4326.0,-4326.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T01:52:42,17140,2026-09-21,Plus Monroe Warehouse,IN PROCESS,SHREDDER/GRINDER (2ND SHIFT),Work,,11:53AM,,12:07:00,LBS,0.0,11254.0,-11254.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T01:52:42,17141,2026-09-21,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (3RD SHIFT),Work,,11:54AM,,12:06:00,LBS,0.0,15035.0,-15035.0,Plus Materials,,0.0,0.0,0.0,,,0,11,,
2026-09-25T01:52:42,17142,2026-09-21,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (3RD SHIFT),Work,,11:54AM,,12:06:00,LBS,0.0,6321.0,-6321.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T01:52:42,17143,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (3RD SHIFT),Work,,11:55AM,,12:05:00,LBS,0.0,48805.0,-48805.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T03:06:20,17040,2026-08-24,PRN Southeast,IN PROCESS,BALER,Work,,5:08AM,,18:52:00,LBS,16876.0,24146.0,-7270.0,Plus Materials,,630.77,0.0,0.0,,,61,12,,
2026-09-25T03:06:20,17129,2026-09-11,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (1ST SHIFT),Work,,3:58PM,,08:02:00,LBS,0.0,47586.0,-47586.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T03:06:20,17130,2026-09-11,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (1ST SHIFT),Work,,3:58PM,,08:02:00,LBS,0.0,78257.0,-78257.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T03:06:20,17131,2026-09-11,Plus Monroe Warehouse,IN PROCESS,GREEN MAX (NEW) (1ST SHIFT),Work,,3:59PM,,08:01:00,LBS,0.0,3958.0,-3958.0,Plus Materials,,0.0,0.0,0.0,,,0,3,,
2026-09-25T03:06:20,17132,2026-09-11,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (1ST SHIFT),Work,,3:59PM,,08:01:00,LBS,0.0,61465.0,-61465.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T03:06:20,17133,2026-09-11,Plus Monroe Warehouse,IN PROCESS,SHREDDER (1ST SHIFT),Work,,4:01PM,,07:59:00,LBS,0.0,7512.0,-7512.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T03:06:20,17134,2026-09-11,Plus Monroe Warehouse,IN PROCESS,SHREDDER/GRINDER (1ST SHIFT),Work,,4:01PM,,07:59:00,LBS,0.0,28533.0,-28533.0,Plus Materials,,0.0,0.0,0.0,,,0,1,,
2026-09-25T03:06:20,17135,2026-09-21,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (2ND SHIFT),Work,,11:51AM,,12:09:00,LBS,0.0,8435.0,-8435.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T03:06:20,17136,2026-09-21,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (2ND SHIFT),Work,,11:51AM,,12:09:00,LBS,0.0,11175.0,-11175.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T03:06:20,17137,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GREEN MAX (NEW) (2ND SHIFT),Work,,11:52AM,,12:08:00,LBS,0.0,1108.0,-1108.0,Plus Materials,,0.0,0.0,0.0,,,0,1,,
2026-09-25T03:06:20,17138,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (2ND SHIFT),Work,,11:52AM,,12:08:00,LBS,0.0,42208.0,-42208.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T03:06:20,17139,2026-09-21,Plus Monroe Warehouse,IN PROCESS,SHREDDER (2ND SHIFT),Work,,11:53AM,,12:07:00,LBS,0.0,4753.0,-4753.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T03:06:20,17140,2026-09-21,Plus Monroe Warehouse,IN PROCESS,SHREDDER/GRINDER (2ND SHIFT),Work,,11:53AM,,12:07:00,LBS,0.0,11254.0,-11254.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T03:06:20,17141,2026-09-21,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (3RD SHIFT),Work,,11:54AM,,12:06:00,LBS,0.0,15035.0,-15035.0,Plus Materials,,0.0,0.0,0.0,,,0,11,,
2026-09-25T03:06:20,17142,2026-09-21,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (3RD SHIFT),Work,,11:54AM,,12:06:00,LBS,0.0,6321.0,-6321.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T03:06:20,17143,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (3RD SHIFT),Work,,11:55AM,,12:05:00,LBS,0.0,48805.0,-48805.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T04:48:19,17040,2026-08-24,PRN Southeast,IN PROCESS,BALER,Work,,5:08AM,,18:52:00,LBS,16876.0,24146.0,-7270.0,Plus Materials,,630.77,0.0,0.0,,,61,12,,
2026-09-25T04:48:19,17129,2026-09-11,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (1ST SHIFT),Work,,3:58PM,,08:02:00,LBS,0.0,47586.0,-47586.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T04:48:19,17130,2026-09-11,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (1ST SHIFT),Work,,3:58PM,,08:02:00,LBS,0.0,78257.0,-78257.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T04:48:19,17131,2026-09-11,Plus Monroe Warehouse,IN PROCESS,GREEN MAX (NEW) (1ST SHIFT),Work,,3:59PM,,08:01:00,LBS,0.0,3958.0,-3958.0,Plus Materials,,0.0,0.0,0.0,,,0,3,,
2026-09-25T04:48:19,17132,2026-09-11,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (1ST SHIFT),Work,,3:59PM,,08:01:00,LBS,0.0,61465.0,-61465.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T04:48:19,17133,2026-09-11,Plus Monroe Warehouse,IN PROCESS,SHREDDER (1ST SHIFT),Work,,4:01PM,,07:59:00,LBS,0.0,7512.0,-7512.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T04:48:19,17134,2026-09-11,Plus Monroe Warehouse,IN PROCESS,SHREDDER/GRINDER (1ST SHIFT),Work,,4:01PM,,07:59:00,LBS,0.0,28533.0,-28533.0,Plus Materials,,0.0,0.0,0.0,,,0,1,,
2026-09-25T04:48:19,17135,2026-09-21,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (2ND SHIFT),Work,,11:51AM,,12:09:00,LBS,0.0,8435.0,-8435.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T04:48:19,17136,2026-09-21,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (2ND SHIFT),Work,,11:51AM,,12:09:00,LBS,0.0,11175.0,-11175.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T04:48:19,17137,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GREEN MAX (NEW) (2ND SHIFT),Work,,11:52AM,,12:08:00,LBS,0.0,1108.0,-1108.0,Plus Materials,,0.0,0.0,0.0,,,0,1,,
2026-09-25T04:48:19,17138,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (2ND SHIFT),Work,,11:52AM,,12:08:00,LBS,0.0,42208.0,-42208.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T04:48:19,17139,2026-09-21,Plus Monroe Warehouse,IN PROCESS,SHREDDER (2ND SHIFT),Work,,11:53AM,,12:07:00,LBS,0.0,5285.0,-5285.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T04:48:19,17140,2026-09-21,Plus Monroe Warehouse,IN PROCESS,SHREDDER/GRINDER (2ND SHIFT),Work,,11:53AM,,12:07:00,LBS,0.0,11254.0,-11254.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T04:48:19,17141,2026-09-21,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (3RD SHIFT),Work,,11:54AM,,12:06:00,LBS,0.0,15035.0,-15035.0,Plus Materials,,0.0,0.0,0.0,,,0,11,,
2026-09-25T04:48:19,17142,2026-09-21,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (3RD SHIFT),Work,,11:54AM,,12:06:00,LBS,0.0,11251.0,-11251.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T04:48:19,17143,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (3RD SHIFT),Work,,11:55AM,,12:05:00,LBS,0.0,48805.0,-48805.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T05:15:57,17040,2026-08-24,PRN Southeast,IN PROCESS,BALER,Work,,5:08AM,,18:52:00,LBS,16876.0,24146.0,-7270.0,Plus Materials,,630.77,0.0,0.0,,,61,12,,
2026-09-25T05:15:57,17129,2026-09-11,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (1ST SHIFT),Work,,3:58PM,,08:02:00,LBS,0.0,47586.0,-47586.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T05:15:57,17130,2026-09-11,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (1ST SHIFT),Work,,3:58PM,,08:02:00,LBS,0.0,78257.0,-78257.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T05:15:57,17131,2026-09-11,Plus Monroe Warehouse,IN PROCESS,GREEN MAX (NEW) (1ST SHIFT),Work,,3:59PM,,08:01:00,LBS,0.0,3958.0,-3958.0,Plus Materials,,0.0,0.0,0.0,,,0,3,,
2026-09-25T05:15:57,17132,2026-09-11,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (1ST SHIFT),Work,,3:59PM,,08:01:00,LBS,0.0,61465.0,-61465.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T05:15:57,17133,2026-09-11,Plus Monroe Warehouse,IN PROCESS,SHREDDER (1ST SHIFT),Work,,4:01PM,,07:59:00,LBS,0.0,7512.0,-7512.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T05:15:57,17134,2026-09-11,Plus Monroe Warehouse,IN PROCESS,SHREDDER/GRINDER (1ST SHIFT),Work,,4:01PM,,07:59:00,LBS,0.0,28533.0,-28533.0,Plus Materials,,0.0,0.0,0.0,,,0,1,,
2026-09-25T05:15:57,17135,2026-09-21,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (2ND SHIFT),Work,,11:51AM,,12:09:00,LBS,0.0,8435.0,-8435.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T05:15:57,17136,2026-09-21,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (2ND SHIFT),Work,,11:51AM,,12:09:00,LBS,0.0,11175.0,-11175.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T05:15:57,17137,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GREEN MAX (NEW) (2ND SHIFT),Work,,11:52AM,,12:08:00,LBS,0.0,1108.0,-1108.0,Plus Materials,,0.0,0.0,0.0,,,0,1,,
2026-09-25T05:15:57,17138,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (2ND SHIFT),Work,,11:52AM,,12:08:00,LBS,0.0,42208.0,-42208.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T05:15:57,17139,2026-09-21,Plus Monroe Warehouse,IN PROCESS,SHREDDER (2ND SHIFT),Work,,11:53AM,,12:07:00,LBS,0.0,5285.0,-5285.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T05:15:57,17140,2026-09-21,Plus Monroe Warehouse,IN PROCESS,SHREDDER/GRINDER (2ND SHIFT),Work,,11:53AM,,12:07:00,LBS,0.0,11254.0,-11254.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T05:15:57,17141,2026-09-21,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (3RD SHIFT),Work,,11:54AM,,12:06:00,LBS,0.0,15035.0,-15035.0,Plus Materials,,0.0,0.0,0.0,,,0,11,,
2026-09-25T05:15:57,17142,2026-09-21,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (3RD SHIFT),Work,,11:54AM,,12:06:00,LBS,0.0,11251.0,-11251.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T05:15:57,17143,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (3RD SHIFT),Work,,11:55AM,,12:05:00,LBS,0.0,52922.0,-52922.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T07:16:40,17040,2026-08-24,PRN Southeast,IN PROCESS,BALER,Work,,5:08AM,,18:52:00,LBS,16876.0,24146.0,-7270.0,Plus Materials,,630.77,0.0,0.0,,,61,12,,
2026-09-25T07:16:40,17129,2026-09-11,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (1ST SHIFT),Work,,3:58PM,,08:02:00,LBS,0.0,47586.0,-47586.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T07:16:40,17130,2026-09-11,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (1ST SHIFT),Work,,3:58PM,,08:02:00,LBS,0.0,79957.0,-79957.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T07:16:40,17131,2026-09-11,Plus Monroe Warehouse,IN PROCESS,GREEN MAX (NEW) (1ST SHIFT),Work,,3:59PM,,08:01:00,LBS,0.0,3958.0,-3958.0,Plus Materials,,0.0,0.0,0.0,,,0,3,,
2026-09-25T07:16:40,17132,2026-09-11,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (1ST SHIFT),Work,,3:59PM,,08:01:00,LBS,0.0,62531.0,-62531.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T07:16:40,17133,2026-09-11,Plus Monroe Warehouse,IN PROCESS,SHREDDER (1ST SHIFT),Work,,4:01PM,,07:59:00,LBS,0.0,8007.0,-8007.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T07:16:40,17134,2026-09-11,Plus Monroe Warehouse,IN PROCESS,SHREDDER/GRINDER (1ST SHIFT),Work,,4:01PM,,07:59:00,LBS,0.0,28533.0,-28533.0,Plus Materials,,0.0,0.0,0.0,,,0,1,,
2026-09-25T07:16:40,17135,2026-09-21,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (2ND SHIFT),Work,,11:51AM,,12:09:00,LBS,0.0,8435.0,-8435.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T07:16:40,17136,2026-09-21,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (2ND SHIFT),Work,,11:51AM,,12:09:00,LBS,0.0,11175.0,-11175.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T07:16:40,17137,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GREEN MAX (NEW) (2ND SHIFT),Work,,11:52AM,,12:08:00,LBS,0.0,1108.0,-1108.0,Plus Materials,,0.0,0.0,0.0,,,0,1,,
2026-09-25T07:16:40,17138,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (2ND SHIFT),Work,,11:52AM,,12:08:00,LBS,0.0,42208.0,-42208.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-25T07:16:40,17139,2026-09-21,Plus Monroe Warehouse,IN PROCESS,SHREDDER (2ND SHIFT),Work,,11:53AM,,12:07:00,LBS,0.0,5285.0,-5285.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
