Snapshot,Job No,Job Date,Warehouse,Warehouse Status,Machine,Status,Post Date,Start-Time,End-Time,Elapsed-Time,UOM,Input Qty,Output Qty,Yield Loss Qty,Department,Description,Input Value,Output Value,Expenses,User Defined 1,UserDefined2,Input Units,Output Units,Operator,Finished Product
2026-09-26T00:03:47,17040,2026-08-24,PRN Southeast,IN PROCESS,BALER,Work,,5:08AM,,18:52:00,LBS,16876.0,24146.0,-7270.0,Plus Materials,,630.77,0.0,0.0,,,61,12,,
2026-09-26T00:03:47,17129,2026-09-11,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (1ST SHIFT),Work,,3:58PM,,08:02:00,LBS,0.0,47586.0,-47586.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-26T00:03:47,17130,2026-09-11,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (1ST SHIFT),Work,,3:58PM,,08:02:00,LBS,0.0,87641.0,-87641.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-26T00:03:47,17131,2026-09-11,Plus Monroe Warehouse,IN PROCESS,GREEN MAX (NEW) (1ST SHIFT),Work,,3:59PM,,08:01:00,LBS,0.0,3958.0,-3958.0,Plus Materials,,0.0,0.0,0.0,,,0,3,,
2026-09-26T00:03:47,17132,2026-09-11,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (1ST SHIFT),Work,,3:59PM,,08:01:00,LBS,0.0,71001.0,-71001.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-26T00:03:47,17133,2026-09-11,Plus Monroe Warehouse,IN PROCESS,SHREDDER (1ST SHIFT),Work,,4:01PM,,07:59:00,LBS,0.0,9525.0,-9525.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-26T00:03:47,17134,2026-09-11,Plus Monroe Warehouse,IN PROCESS,SHREDDER/GRINDER (1ST SHIFT),Work,,4:01PM,,07:59:00,LBS,0.0,28533.0,-28533.0,Plus Materials,,0.0,0.0,0.0,,,0,1,,
2026-09-26T00:03:47,17135,2026-09-21,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (2ND SHIFT),Work,,11:51AM,,12:09:00,LBS,0.0,8435.0,-8435.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-26T00:03:47,17136,2026-09-21,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (2ND SHIFT),Work,,11:51AM,,12:09:00,LBS,0.0,16179.0,-16179.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-26T00:03:47,17137,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GREEN MAX (NEW) (2ND SHIFT),Work,,11:52AM,,12:08:00,LBS,0.0,1108.0,-1108.0,Plus Materials,,0.0,0.0,0.0,,,0,1,,
2026-09-26T00:03:47,17138,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (2ND SHIFT),Work,,11:52AM,,12:08:00,LBS,0.0,54488.0,-54488.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-26T00:03:47,17139,2026-09-21,Plus Monroe Warehouse,IN PROCESS,SHREDDER (2ND SHIFT),Work,,11:53AM,,12:07:00,LBS,0.0,5285.0,-5285.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-26T00:03:47,17140,2026-09-21,Plus Monroe Warehouse,IN PROCESS,SHREDDER/GRINDER (2ND SHIFT),Work,,11:53AM,,12:07:00,LBS,0.0,11254.0,-11254.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-26T00:03:47,17141,2026-09-21,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (3RD SHIFT),Work,,11:54AM,,12:06:00,LBS,0.0,15035.0,-15035.0,Plus Materials,,0.0,0.0,0.0,,,0,11,,
2026-09-26T00:03:47,17142,2026-09-21,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (3RD SHIFT),Work,,11:54AM,,12:06:00,LBS,0.0,11251.0,-11251.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-26T00:03:47,17143,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (3RD SHIFT),Work,,11:55AM,,12:05:00,LBS,0.0,65375.0,-65375.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-26T01:17:26,17040,2026-08-24,PRN Southeast,IN PROCESS,BALER,Work,,5:08AM,,18:52:00,LBS,16876.0,24146.0,-7270.0,Plus Materials,,630.77,0.0,0.0,,,61,12,,
2026-09-26T01:17:26,17129,2026-09-11,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (1ST SHIFT),Work,,3:58PM,,08:02:00,LBS,0.0,47586.0,-47586.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-26T01:17:26,17130,2026-09-11,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (1ST SHIFT),Work,,3:58PM,,08:02:00,LBS,0.0,87641.0,-87641.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-26T01:17:26,17131,2026-09-11,Plus Monroe Warehouse,IN PROCESS,GREEN MAX (NEW) (1ST SHIFT),Work,,3:59PM,,08:01:00,LBS,0.0,3958.0,-3958.0,Plus Materials,,0.0,0.0,0.0,,,0,3,,
2026-09-26T01:17:26,17132,2026-09-11,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (1ST SHIFT),Work,,3:59PM,,08:01:00,LBS,0.0,71001.0,-71001.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-26T01:17:26,17133,2026-09-11,Plus Monroe Warehouse,IN PROCESS,SHREDDER (1ST SHIFT),Work,,4:01PM,,07:59:00,LBS,0.0,9525.0,-9525.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-26T01:17:26,17134,2026-09-11,Plus Monroe Warehouse,IN PROCESS,SHREDDER/GRINDER (1ST SHIFT),Work,,4:01PM,,07:59:00,LBS,0.0,28533.0,-28533.0,Plus Materials,,0.0,0.0,0.0,,,0,1,,
2026-09-26T01:17:26,17135,2026-09-21,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (2ND SHIFT),Work,,11:51AM,,12:09:00,LBS,0.0,8435.0,-8435.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-26T01:17:26,17136,2026-09-21,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (2ND SHIFT),Work,,11:51AM,,12:09:00,LBS,0.0,16179.0,-16179.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-26T01:17:26,17137,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GREEN MAX (NEW) (2ND SHIFT),Work,,11:52AM,,12:08:00,LBS,0.0,1108.0,-1108.0,Plus Materials,,0.0,0.0,0.0,,,0,1,,
2026-09-26T01:17:26,17138,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (2ND SHIFT),Work,,11:52AM,,12:08:00,LBS,0.0,54488.0,-54488.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-26T01:17:26,17139,2026-09-21,Plus Monroe Warehouse,IN PROCESS,SHREDDER (2ND SHIFT),Work,,11:53AM,,12:07:00,LBS,0.0,5285.0,-5285.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-26T01:17:26,17140,2026-09-21,Plus Monroe Warehouse,IN PROCESS,SHREDDER/GRINDER (2ND SHIFT),Work,,11:53AM,,12:07:00,LBS,0.0,11254.0,-11254.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-26T01:17:26,17141,2026-09-21,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (3RD SHIFT),Work,,11:54AM,,12:06:00,LBS,0.0,15035.0,-15035.0,Plus Materials,,0.0,0.0,0.0,,,0,11,,
2026-09-26T01:17:26,17142,2026-09-21,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (3RD SHIFT),Work,,11:54AM,,12:06:00,LBS,0.0,11251.0,-11251.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-26T01:17:26,17143,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (3RD SHIFT),Work,,11:55AM,,12:05:00,LBS,0.0,67203.0,-67203.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
